trial_path,variant,total_calls,total_GFLOPs,total_tokens,amplification
analysis/raw_logs\20251008_070050\P0_7e2317d1-f1d6-43f9-9284-fd3dd7f870da.jsonl,P0,1,8550000.0,950,0.3423134978541542
analysis/raw_logs\20251008_070050\P0_87306bee-36bb-4156-b755-a8bbe5d9ee79.jsonl,P0,9,72297000.0,8033,2.8945308718551797
analysis/raw_logs\20251008_070050\P0_925a5ac9-c386-4b3f-be01-d1ea2cc9d084.jsonl,P0,14,110511000.0,12279,4.4244920422643785
analysis/raw_logs\20251008_070050\P0_d9d62f1b-eec1-4a5e-89f4-fb898a4be5b4.jsonl,P0,11,88299000.0,9811,3.5351976078390597
analysis/raw_logs\20251008_070050\P0_f5fa0eb1-18f5-4707-920e-70e1f1e608c7.jsonl,P0,1,8550000.0,950,0.3423134978541542
analysis/raw_logs\20251008_070050\P3_49df5bec-8331-4eda-a5f9-cafc6c5ad48e.jsonl,P3,1,1962000.0,218,0.07855193950758485
analysis/raw_logs\20251008_070050\P3_4d46ec45-5e8b-4517-9541-e3bcc7523ffe.jsonl,P3,10,106362000.0,11818,4.258379913305678
analysis/raw_logs\20251008_070050\P3_5d301c27-d7a4-477c-a8f1-c222dbf4f144.jsonl,P3,8,87795000.0,9755,3.5150191279655516
analysis/raw_logs\20251008_070050\P3_68fadf08-d87e-4202-8e17-55888dd460d6.jsonl,P3,4,40950000.0,4550,1.639501489722528
analysis/raw_logs\20251008_070050\P3_dc8b9e0d-0290-4c20-8b87-092a1c129a22.jsonl,P3,22,250542000.0,27838,10.030866477119941
analysis/raw_logs\20251008_070050\P6_6ffe1d71-774f-45b0-8859-aad81ed2e1f0.jsonl,P6,3,8307000.0,923,0.3325845879151414
analysis/raw_logs\20251008_070050\P6_9c5c0c45-fe2b-472d-992f-bec87ef14533.jsonl,P6,9,72846000.0,8094,2.9165110017173936
analysis/raw_logs\20251008_070050\P6_b3559f71-5fb3-42b4-9586-6f311d2ff23b.jsonl,P6,2,4212000.0,468,0.1686344389428886
analysis/raw_logs\20251008_070050\P6_e6e60fa4-87f8-4fc3-8ad3-3dbecc7c053d.jsonl,P6,4,27387000.0,3043,1.096484183126517
analysis/raw_logs\20251008_070050\P6_edcc38e3-672f-4638-97ff-42e093cad552.jsonl,P6,7,40383000.0,4487,1.6168006998648314
analysis/raw_logs\20251008_073651\P0_3c1da125-1c8c-4623-848a-00b1b301ab76.jsonl,P0,3,26262000.0,2918,1.0514429334088653
analysis/raw_logs\20251008_073651\P0_63442799-bfd3-409e-8839-6ba2996f4482.jsonl,P0,2,17514000.0,1946,0.7012021756044042
analysis/raw_logs\20251008_073651\P0_7c8520c4-17ad-467a-b6c3-49d8cced8716.jsonl,P0,15,116883000.0,12987,4.6796056806651585
analysis/raw_logs\20251008_073651\P0_80139963-2d35-4bd8-9074-ec072c8b5202.jsonl,P0,3,24804000.0,2756,0.9930694737747884
analysis/raw_logs\20251008_073651\P0_806add64-84bc-4b65-b782-cf9720f3d57e.jsonl,P0,3,24804000.0,2756,0.9930694737747884
analysis/raw_logs\20251008_073651\P3_12ae6305-43d0-4a67-9c17-b1e9f979d565.jsonl,P3,7,72576000.0,8064,2.9057011017851573
analysis/raw_logs\20251008_073651\P3_23057068-2e67-4456-915b-643488c8c188.jsonl,P3,7,74925000.0,8325,2.9997472311956144
analysis/raw_logs\20251008_073651\P3_3fae0777-3eac-4edb-8d54-e6acf0905de9.jsonl,P3,2,13374000.0,1486,0.5354503766434454
analysis/raw_logs\20251008_073651\P3_a26da825-c5ba-443a-a382-e770f9ec1f00.jsonl,P3,6,59301000.0,6589,2.374214355116865
analysis/raw_logs\20251008_073651\P3_b9f95d6a-222f-4457-9fbd-6c5285029b70.jsonl,P3,22,246312000.0,27368,9.86151137818157
analysis/raw_logs\20251008_073651\P6_15b78370-4d05-4b8c-a0af-e3d0e1d7a106.jsonl,P6,9,67572000.0,7508,2.7053576230410417
analysis/raw_logs\20251008_073651\P6_336ca0da-8f42-4b17-b3ee-a95cdbf14925.jsonl,P6,3,8307000.0,923,0.3325845879151414
analysis/raw_logs\20251008_073651\P6_b44812e1-3820-456c-9c29-e8a52d2affbf.jsonl,P6,7,48645000.0,5405,1.9475836377912668
analysis/raw_logs\20251011_190804\P0_67ce9515-c29b-49c6-949c-33f95833603f.jsonl,P0,5,37485000.0,4165,1.5007744405921601
analysis/raw_logs\20251011_190804\P0_6c314ee9-bb27-4b4e-ae32-232c12414c5f.jsonl,P0,1,8973000.0,997,0.3592490077479913
analysis/raw_logs\20251011_190804\P0_8429481e-d6d0-4f6d-93e6-e9c77df51971.jsonl,P0,1,8550000.0,950,0.3423134978541542
analysis/raw_logs\20251011_190804\P0_a94b81e1-ba1b-4b30-8f55-23d8d1de0ea8.jsonl,P0,7,53550000.0,5950,2.143963486560229
analysis/raw_logs\20251011_190804\P0_b8401bed-d0bc-48f2-86e2-551589d0f012.jsonl,P0,1,8550000.0,950,0.3423134978541542
analysis/raw_logs\20251011_190804\P3_2ad38346-32c3-44bd-8e9d-49ddb8837b53.jsonl,P3,1,1962000.0,218,0.07855193950758485
